2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
αὐτοῖς	αὐτός	{Case: [dative], Gender: [masculine], Number: [plural], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἐπεκούρησεν.	ἐπικορέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Ἐκείνη	Ἐκεῖνος	{Case: [nominative], Gender: [feminine], Number: [singular]}	
παντοίων	παντοῖος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [plural]}	of all sorts
φαρμάκων	φάρμακον	{Case: [genitive], Gender: [masculine], Number: [plural]}	a drug, medicine
φίλτρων	φίλτρον	{Case: [genitive], Gender: [neuter], Number: [plural]}	a love-charm
ἔμπειρος	ἔμπειρος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	experienced
οὖσα	εἰμί	{Case: [nominative], Gender: [feminine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to be
ἔδειξεν	δείκνυμι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to show
αὐτῷ	αὐτός	{Case: [dative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ὅπως	ὅπως	{}	how, that, in order that, as
ταύρους	ταῦρος	{Case: [accusative], Gender: [masculine], Number: [plural]}	a bull
πῦρ	πῦρ	{Case: [accusative], Gender: [neuter], Number: [singular]}	fire
ἐκπνέοντας	ἐκπνέω	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to breathe out
δαμάζοι,	δαμάζω	{Mood: [optative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to overpower, tame, conquer, subdue
μυρίους	μύριοι	{Case: [accusative], Gender: [masculine], Number: [plural]}	ten thousand
ὁπλίτας	ὁπλίτης	{Case: [accusative], Gender: [masculine], Number: [plural]}	heavy-armed, armed
καθ	καί	{}	and, also
αὑτοῦ	αὑτός	{Case: [genitive], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal], Reflexive: [pos]}	the same (crasis of ὁ αὐτός)
μόνος	μόνος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	alone, left alone, forsaken solitary
νικῴη.	νικῴα	{Case: [nominative], Gender: [masculine], Number: [singular]}	
Ἔπειτα	ἔπειτα	{}	then, next
Μήδεια	Μήδεια	{Case: [nominative], Gender: [feminine], Number: [singular]}	Medea
κατεκοίμησε	κατακοιμάω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to sleep through
δράκοντα	δράκων	{Case: [accusative], Gender: [masculine], Number: [singular]}	dragon, serpent
δέρμα	δέρμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	the skin, hide
φυλάσσοντα,	φυλάσσω	{Case: [accusative], Gender: [masculine], Number: [plural], Tense: [present], VerbForm: [participle], Voice: [active]}	to keep watch and ward, keep guard
Ἰάσων	Ἰάσων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Jason
ἀπέπλευσεν	ἀποπλέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to sail away, sail off
ἀποκομίζων	ἀποκομίζω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to carry away, escort
δέρμα	δέρμα	{Case: [accusative], Gender: [neuter], Number: [singular]}	the skin, hide
Μήδειαν.	Μήδειαν	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Ἐκείνη	Ἐκεῖνος	{Case: [nominative], Gender: [feminine], Number: [singular]}	
ἐφοβήθη	φοβέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to put to flight, to terrify; mid. to fear
πατὴρ	πατήρ	{Case: [nominative], Gender: [masculine], Number: [singular]}	a father
ὀργισθεὶς	ὀργίζω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to make angry, provoke to anger, irritate
αὐτὴν	αὐτός	{Case: [accusative], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἀποκτάνοι.	ἀποκτείνω	{Mood: [optative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to kill, slay
Καὶ	καί	{}	and, also
Ἰάσων	Ἰάσων	{Case: [nominative], Gender: [masculine], Number: [singular]}	Jason
ἔγημεν	γαμέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to marry
αὐτὴν	αὐτός	{Case: [accusative], Gender: [feminine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἀρχὴν	ἀρχή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a beginning, rule, office, empire
Πελίου	Πέλιος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
ἀπεδέξατο.	ἀποδέχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to accept from
2.21.0	2.21.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ulysses	Ulysses	{Case: [genitive], Degree: [positive], Gender: [feminine], Number: [singular]}	
and	and	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Argus	οὖς	{Case: [genitive], Definiteness: [definite], Gender: [masculine], Number: [singular], PrononimalType: [demonstrative]}	ear
2.21.1	2.21.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Τρωικοῦ	Τρωικός	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
πολέμου	πόλεμος	{Case: [genitive], Gender: [masculine], Number: [singular]}	battle, fight, war
ἤδη	ἤδη	{}	already
τελευτηθέντος,	τελευτάω	{Aspect: [perfective], Case: [genitive], Gender: [masculine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	to complete, finish, accomplish; pple. finally, in the end
Ἕλληνες	Ἕλλην	{Case: [nominative], Gender: [masculine], Number: [plural]}	Hellen; Greek
ἐπανῆλθον	πανέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
ἕκαστος	ἕκαστος	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	every, every one, each, each one
οἰκίαν,	οἰκία	{Case: [accusative], Gender: [feminine], Number: [singular]}	a building, house, dwelling
Ὀδυσσεύς,	Ὀδυσσεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	Odysseus
Ἰθάκῃ	Ἰθάκη	{Case: [dative], Gender: [feminine], Number: [singular]}	Ithaca
ᾤκησεν.	ἀκηθέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
Ἀλλ	ἀλλ	{}	
ἔδει	δεῖ	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	it is necessary
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
πανταχοῦ	πανταχοῦ	{}	everywhere
πλανᾶσθαι	πλανάω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to make to wander, lead wandering about
γῆν	γῆ	{Case: [accusative], Gender: [feminine], Number: [singular]}	earth
θάλασσαν,	θάλασσα	{Case: [accusative], Gender: [feminine], Number: [singular]}	the sea
καθορμίζεσθαι	καθορμίζω	{Tense: [present], VerbForm: [infinitive], Voice: [middle]}	to bring
πολλά	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	much, many
ξένα	ξένος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [plural]}	a guest, guest-friend, stranger; foreign
χωρία,	χωρία	{Case: [accusative], Gender: [neuter], Number: [plural]}	
πρὶν	πρίν	{}	before; (after negated main clause) until
ἰδεῖν	ὁράω	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	to see
φίλην	φίλη	{Case: [accusative], Gender: [feminine], Number: [singular]}	
γυναῖκα	γυνή	{Case: [accusative], Gender: [feminine], Number: [singular]}	a woman
υἱὸν	υἱός	{Case: [accusative], Gender: [masculine], Number: [singular]}	a son
νῆσον	νῆσος	{Case: [accusative], Gender: [feminine], Number: [singular]}	an island
Ἰθάκην.	Ἰθάκην	{Case: [accusative], Gender: [feminine], Number: [singular]}	
Εἴκοσιν	Εἴκοσι	{}	
ἕτη	ἕτη	{Case: [nominative], Gender: [feminine], Number: [singular]}	
ἐφοίτα,	φοιτάω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to go to and fro, up and down, to stalk
ἐντυγχάνων	ἐντυγχάνω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to light upon, fall in with, meet with
παντοίοις	παντοῖος	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	of all sorts
κινδύνοις,	κίνδυνος	{Case: [dative], Gender: [masculine], Number: [plural]}	a danger, risk, hazard, venture, enterprise
ἄλλοτε	ἄλλοτε	{}	at another time, at other times
χειμῶνος,	χειμών	{Case: [genitive], Gender: [masculine], Number: [singular]}	winter; storm, stormy weather
ἄλλοτε	ἄλλοτε	{}	at another time, at other times
ἀνθρώπων·	ἄνθρωπος	{Case: [genitive], Gender: [masculine], Number: [plural]}	man, person, human
Αἴολος	Αἴολος	{Case: [nominative], Gender: [masculine], Number: [singular]}	Aeolus
ἀνέμων	ἄνεμος	{Case: [genitive], Gender: [masculine], Number: [plural]}	wind
βασιλεὺς	βασιλεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	a king, chief
ἐχθρὸς	ἐχθρός	{Case: [nominative], Degree: [positive], Gender: [masculine], Number: [singular]}	hated, hateful; enemy
ἐγένετο	γίγνομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
αὐτῷ,	αὐτῷ,	{}	
ναῦν	ναῦς	{Case: [accusative], Gender: [feminine], Number: [singular]}	a ship
ἅνω	ἅς	{Case: [genitive], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	
κάτω	κάτω	{Degree: [positive]}	down, downwards
ἤλασεν	ἐλαύνω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to drive, drive on, set in motion
μεγάλοις	μέγας	{Case: [dative], Degree: [positive], Gender: [masculine], Number: [plural]}	big, great
ἀνέμοις.	ἀνέμοιτος	{Case: [dative], Gender: [masculine], Number: [plural]}	
2.21.2	2.21.2	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
Τέλος	Τέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	
εἰκοστῷ	εἰκοστός	{Case: [dative], Degree: [positive], Gender: [neuter], Number: [singular]}	the twentieth
ἔτει	ἔτος	{Case: [dative], Gender: [neuter], Number: [singular]}	a year
ἀφίκετο	ἀφικνέομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to come to
Ἰθάκην	Ἰθάκη	{Case: [accusative], Gender: [feminine], Number: [singular]}	Ithaca
ναῦν	ναῦς	{Case: [accusative], Gender: [feminine], Number: [singular]}	a ship
ἐπώκειλε	ἐπόκειλαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	
μικρὸν	μικρός	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	small, little
λιμένα.	λιμήν	{Case: [accusative], Gender: [masculine], Number: [singular]}	a harbour, haven, creek
Τότε	τότε	{}	at that time, then
λάθρᾳ	λάθρᾳ	{}	
συβώτου	σύβωτος	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
Εὐμαίου	Εὐμαῖος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
καλύβην	καλύβη	{Case: [accusative], Gender: [feminine], Number: [singular]}	a hut, cabin, cell
προσῆλθεν.	προσέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to come
Ἐκεῖνος	Ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [singular]}	
ἠπόρει	ἀπορέω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	[(Ion.) > ἀφοράω]
ἐπιγιγνώσκων	ἐπιγιγνώσκω	{Case: [nominative], Gender: [masculine], Number: [singular], Tense: [present], VerbForm: [participle], Voice: [active]}	to look upon, witness, observe
δεσπότην	δεσπότης	{Case: [accusative], Gender: [masculine], Number: [singular]}	a master, lord, the master of the house
τίς	τίς	{Case: [nominative], Gender: [masculine], Number: [singular], PrononimalType: [interrogative]}	who? which?
ἐστί	εἰμί	{Mood: [indicative], Number: [singular], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to be
πολὺν	πολύς	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	much, many
γοὶρ	γοῦρ	{}	
χρόνον	χρόνος	{Case: [accusative], Gender: [masculine], Number: [singular]}	time
ἤδη	ἤδη	{}	already
ἀπεδήμει.	ἀποδημείω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [first], Tense: [past], VerbForm: [finite], Voice: [active]}	
Ἀλλ	ἀλλ	{}	
ἐγγὺς	ἐγγύς	{Degree: [positive]}	near, nigh, at hand
ἔκειτο	κεῖμαι	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to lie; to have been set/put (as perf. pass. of τίθημι)
